Type, Run, Ratio, Test1, Test2
3840x2160, 9, 5:4, 22.37, 21.68
3840x2160, 9, 16:10, 22.29, 21.49
3840x2160, 9, 16:9, 21.70, 21.17
3840x2160, 9, 21:9, 23.22, 22.04
3840x2160, 9, 9:16, 23.26, 21.68
5120x2880, 1, 4:3, 13.47, 13.18
5120x2880, 1, 5:4, 13.06, 12.79
5120x2880, 1, 16:10, 12.99, 12.75
5120x2880, 1, 16:9, 13.57, 13.27
5120x2880, 1, 21:9, 13.28, 13.07
5120x2880, 1, 9:16, 14.37, 13.39
5120x2880, 10, 4:3, 12.93, 12.73
5120x2880, 10, 5:4, 13.14, 12.82
5120x2880, 10, 16:10, 13.03, 12.79
5120x2880, 10, 16:9, 12.70, 12.63
5120x2880, 10, 21:9, 13.07, 12.77
5120x2880, 10, 9:16, 13.98, 13.03
5120x2880, 11, 4:3, 12.94, 12.72
5120x2880, 11, 5:4, 13.23, 12.85
5120x2880, 11, 16:10, 13.03, 12.80
5120x2880, 11, 16:9, 12.69, 12.64
5120x2880, 11, 21:9, 13.07, 12.75
5120x2880, 11, 9:16, 13.95, 13.00
5120x2880, 12, 4:3, 12.92, 12.72
5120x2880, 12, 5:4, 13.24, 12.84
5120x2880, 12, 16:10, 13.03, 12.79
5120x2880, 12, 16:9, 12.71, 12.63
5120x2880, 12, 21:9, 13.05, 12.75
5120x2880, 12, 9:16, 13.86, 13.02
5120x2880, 13, 4:3, 12.94, 12.71
5120x2880, 13, 5:4, 13.24, 12.83
5120x2880, 13, 16:10, 12.94, 12.79
5120x2880, 13, 16:9, 12.61, 12.64
5120x2880, 13, 21:9, 13.03, 12.75
5120x2880, 13, 9:16, 13.92, 13.00
5120x2880, 14, 4:3, 13.04, 12.69
5120x2880, 14, 5:4, 13.24, 12.86
5120x2880, 14, 16:10, 13.05, 12.80
5120x2880, 14, 16:9, 12.59, 12.62
5120x2880, 14, 21:9, 13.11, 12.76
5120x2880, 14, 9:16, 14.00, 12.97
5120x2880, 15, 4:3, 12.93, 12.70
5120x2880, 15, 5:4, 13.16, 12.84
5120x2880, 15, 16:10, 13.03, 12.79
5120x2880, 15, 16:9, 12.67, 12.62
5120x2880, 15, 21:9, 13.04, 12.73
5120x2880, 15, 9:16, 13.91, 13.00
5120x2880, 2, 4:3, 13.05, 12.95
5120x2880, 2, 5:4, 13.23, 12.80
5120x2880, 2, 16:10, 12.99, 12.77
5120x2880, 2, 16:9, 13.03, 12.89
5120x2880, 2, 21:9, 13.11, 12.94
5120x2880, 2, 9:16, 14.07, 13.21
5120x2880, 3, 4:3, 13.07, 12.89
5120x2880, 3, 5:4, 13.01, 12.82
5120x2880, 3, 16:10, 12.81, 12.79
5120x2880, 3, 16:9, 12.85, 12.80
5120x2880, 3, 21:9, 13.09, 12.93
5120x2880, 3, 9:16, 14.10, 13.16
5120x2880, 4, 4:3, 12.99, 12.84
5120x2880, 4, 5:4, 13.11, 12.86
5120x2880, 4, 16:10, 12.84, 12.79
5120x2880, 4, 16:9, 12.80, 12.77
5120x2880, 4, 21:9, 13.13, 12.86
5120x2880, 4, 9:16, 14.01, 13.12
5120x2880, 5, 4:3, 13.02, 12.80
5120x2880, 5, 5:4, 13.11, 12.84
5120x2880, 5, 16:10, 12.89, 12.79
5120x2880, 5, 16:9, 12.69, 12.73
5120x2880, 5, 21:9, 13.09, 12.83
5120x2880, 5, 9:16, 14.01, 13.08
5120x2880, 6, 4:3, 12.97, 12.77
5120x2880, 6, 5:4, 13.04, 12.84
5120x2880, 6, 16:10, 12.90, 12.80
5120x2880, 6, 16:9, 12.74, 12.69
5120x2880, 6, 21:9, 12.98, 12.79
5120x2880, 6, 9:16, 13.99, 13.06
5120x2880, 7, 4:3, 12.86, 12.77
5120x2880, 7, 5:4, 13.02, 12.84
5120x2880, 7, 16:10, 12.92, 12.81
5120x2880, 7, 16:9, 12.71, 12.68
5120x2880, 7, 21:9, 13.10, 12.79
5120x2880, 7, 9:16, 13.99, 13.05
5120x2880, 8, 4:3, 12.94, 12.74
5120x2880, 8, 5:4, 13.13, 12.85
5120x2880, 8, 16:10, 12.92, 12.81
5120x2880, 8, 16:9, 12.71, 12.66
5120x2880, 8, 21:9, 13.07, 12.79
5120x2880, 8, 9:16, 13.93, 13.02
5120x2880, 9, 4:3, 12.94, 12.73
5120x2880, 9, 5:4, 13.11, 12.87
5120x2880, 9, 16:10, 13.03, 12.80
5120x2880, 9, 16:9, 12.68, 12.65
5120x2880, 9, 21:9, 12.95, 12.77
5120x2880, 9, 9:16, 13.96, 13.04
6400x3600, 1, 4:3, 8.30, 7.97
6400x3600, 1, 5:4, 8.51, 8.16
6400x3600, 1, 16:10, 8.41, 8.15
6400x3600, 1, 16:9, 8.02, 7.92
6400x3600, 1, 21:9, 8.25, 8.09
6400x3600, 1, 9:16, 8.90, 8.37
6400x3600, 10, 4:3, 8.33, 8.00
6400x3600, 10, 5:4, 8.51, 8.16
6400x3600, 10, 16:10, 8.39, 8.15
6400x3600, 10, 16:9, 8.07, 7.95
6400x3600, 10, 21:9, 8.27, 8.09
6400x3600, 10, 9:16, 8.92, 8.39
6400x3600, 11, 4:3, 8.35, 8.01
6400x3600, 11, 5:4, 8.50, 8.16
6400x3600, 11, 16:10, 8.35, 8.15
6400x3600, 11, 16:9, 8.10, 7.95
6400x3600, 11, 21:9, 8.27, 8.10
6400x3600, 11, 9:16, 8.89, 8.41
6400x3600, 12, 4:3, 8.36, 8.02
6400x3600, 12, 5:4, 8.47, 8.16
6400x3600, 12, 16:10, 8.38, 8.15
6400x3600, 12, 16:9, 8.11, 7.96
6400x3600, 12, 21:9, 8.29, 8.10
6400x3600, 12, 9:16, 8.94, 8.41
6400x3600, 13, 4:3, 8.36, 8.02
6400x3600, 13, 5:4, 8.49, 8.13
6400x3600, 13, 16:10, 8.39, 8.13
6400x3600, 13, 16:9, 8.10, 7.97
6400x3600, 13, 21:9, 8.25, 8.11
6400x3600, 13, 9:16, 8.96, 8.43
6400x3600, 14, 4:3, 8.38, 8.03
6400x3600, 14, 5:4, 8.50, 8.15
6400x3600, 14, 16:10, 8.40, 8.14
6400x3600, 14, 16:9, 8.12, 7.98
6400x3600, 14, 21:9, 8.30, 8.11
6400x3600, 14, 9:16, 8.96, 8.43
6400x3600, 15, 4:3, 8.38, 8.04
6400x3600, 15, 5:4, 8.50, 8.15
6400x3600, 15, 16:10, 8.39, 8.12
6400x3600, 15, 16:9, 8.09, 7.98
6400x3600, 15, 21:9, 8.32, 8.12
6400x3600, 15, 9:16, 8.96, 8.44
6400x3600, 2, 4:3, 8.32, 8.00
6400x3600, 2, 5:4, 8.52, 8.16
6400x3600, 2, 16:10, 8.40, 8.15
6400x3600, 2, 16:9, 8.06, 7.93
6400x3600, 2, 21:9, 8.25, 8.06
6400x3600, 2, 9:16, 8.90, 8.37
6400x3600, 3, 4:3, 8.31, 7.99
6400x3600, 3, 5:4, 8.50, 8.17
6400x3600, 3, 16:10, 8.42, 8.15
6400x3600, 3, 16:9, 8.06, 7.92
6400x3600, 3, 21:9, 8.20, 8.06
6400x3600, 3, 9:16, 8.90, 8.38
6400x3600, 4, 4:3, 8.29, 7.97
6400x3600, 4, 5:4, 8.53, 8.16
6400x3600, 4, 16:10, 8.42, 8.17
6400x3600, 4, 16:9, 8.05, 7.93
6400x3600, 4, 21:9, 8.22, 8.08
6400x3600, 4, 9:16, 8.87, 8.36
6400x3600, 5, 4:3, 8.24, 7.98
6400x3600, 5, 5:4, 8.52, 8.17
6400x3600, 5, 16:10, 8.35, 8.14
6400x3600, 5, 16:9, 8.05, 7.92
6400x3600, 5, 21:9, 8.22, 8.06
6400x3600, 5, 9:16, 8.83, 8.36
6400x3600, 6, 4:3, 8.28, 7.97
6400x3600, 6, 5:4, 8.51, 8.15
6400x3600, 6, 16:10, 8.41, 8.14
6400x3600, 6, 16:9, 8.03, 7.91
6400x3600, 6, 21:9, 8.23, 8.06
6400x3600, 6, 9:16, 8.87, 8.36
6400x3600, 7, 4:3, 8.30, 7.97
6400x3600, 7, 5:4, 8.51, 8.15
6400x3600, 7, 16:10, 8.41, 8.14
6400x3600, 7, 16:9, 8.04, 7.91
6400x3600, 7, 21:9, 8.24, 8.06
6400x3600, 7, 9:16, 8.88, 8.36
6400x3600, 8, 4:3, 8.29, 7.97
6400x3600, 8, 5:4, 8.45, 8.14
6400x3600, 8, 16:10, 8.40, 8.15
6400x3600, 8, 16:9, 8.05, 7.91
6400x3600, 8, 21:9, 8.24, 8.07
6400x3600, 8, 9:16, 8.87, 8.36
6400x3600, 9, 4:3, 8.32, 7.99
6400x3600, 9, 5:4, 8.50, 8.15
6400x3600, 9, 16:10, 8.39, 8.15
6400x3600, 9, 16:9, 8.08, 7.94
6400x3600, 9, 21:9, 8.26, 8.09
6400x3600, 9, 9:16, 8.92, 8.38
640x360, 1, 4:3, 154.53, 140.86
640x360, 1, 5:4, 161.35, 140.40
640x360, 1, 16:10, 163.85, 141.67
640x360, 1, 16:9, 167.62, 144.91
640x360, 1, 21:9, 153.77, 135.89
640x360, 1, 9:16, 151.93, 138.11
640x360, 10, 4:3, 160.80, 137.36
640x360, 10, 5:4, 159.50, 136.71
640x360, 10, 16:10, 163.90, 138.35
640x360, 10, 16:9, 165.73, 139.47
640x360, 10, 21:9, 152.33, 134.11
640x360, 10, 9:16, 150.60, 136.12
640x360, 11, 4:3, 161.04, 137.69
640x360, 11, 5:4, 159.86, 136.98
640x360, 11, 16:10, 163.13, 137.93
640x360, 11, 16:9, 164.85, 139.76
640x360, 11, 21:9, 152.30, 133.44
640x360, 11, 9:16, 150.30, 136.15
640x360, 12, 4:3, 161.42, 137.51
640x360, 12, 5:4, 159.46, 136.83
640x360, 12, 16:10, 163.54, 137.78
640x360, 12, 16:9, 165.15, 139.58
640x360, 12, 21:9, 152.44, 133.67
640x360, 12, 9:16, 150.26, 135.95
640x360, 13, 4:3, 160.98, 137.56
640x360, 13, 5:4, 159.55, 136.55
640x360, 13, 16:10, 163.79, 138.11
640x360, 13, 16:9, 164.72, 139.65
640x360, 13, 21:9, 152.29, 133.76
640x360, 13, 9:16, 150.38, 136.14
640x360, 14, 4:3, 161.13, 137.31
640x360, 14, 5:4, 159.53, 136.65
640x360, 14, 16:10, 163.28, 138.13
640x360, 14, 16:9, 164.74, 139.46
640x360, 14, 21:9, 152.50, 133.57
640x360, 14, 9:16, 150.29, 135.94
640x360, 15, 4:3, 161.21, 137.64
640x360, 15, 5:4, 158.81, 136.38
640x360, 15, 16:10, 163.76, 138.03
640x360, 15, 16:9, 165.96, 139.62
640x360, 15, 21:9, 152.61, 133.44
640x360, 15, 9:16, 150.35, 136.08
640x360, 2, 4:3, 161.82, 139.47
640x360, 2, 5:4, 160.13, 139.56
640x360, 2, 16:10, 164.00, 140.43
640x360, 2, 16:9, 166.42, 142.31
640x360, 2, 21:9, 152.59, 135.30
640x360, 2, 9:16, 150.68, 137.45
640x360, 3, 4:3, 161.53, 138.79
640x360, 3, 5:4, 159.26, 138.69
640x360, 3, 16:10, 163.45, 140.26
640x360, 3, 16:9, 165.41, 141.55
640x360, 3, 21:9, 152.15, 134.89
640x360, 3, 9:16, 150.11, 136.95
640x360, 4, 4:3, 160.75, 138.44
640x360, 4, 5:4, 159.43, 137.67
640x360, 4, 16:10, 163.81, 138.96
640x360, 4, 16:9, 164.98, 140.88
640x360, 4, 21:9, 152.64, 134.57
640x360, 4, 9:16, 150.17, 136.85
640x360, 5, 4:3, 161.39, 138.24
640x360, 5, 5:4, 159.02, 137.63
640x360, 5, 16:10, 163.29, 138.86
640x360, 5, 16:9, 165.68, 140.28
640x360, 5, 21:9, 152.52, 134.03
640x360, 5, 9:16, 150.16, 136.71
640x360, 6, 4:3, 161.29, 138.15
640x360, 6, 5:4, 159.39, 137.07
640x360, 6, 16:10, 163.21, 138.49
640x360, 6, 16:9, 165.30, 140.48
640x360, 6, 21:9, 152.59, 133.85
640x360, 6, 9:16, 150.48, 136.47
640x360, 7, 4:3, 160.65, 137.68
640x360, 7, 5:4, 159.35, 136.77
640x360, 7, 16:10, 163.84, 138.55
640x360, 7, 16:9, 165.12, 140.27
640x360, 7, 21:9, 152.36, 133.97
640x360, 7, 9:16, 149.83, 136.20
640x360, 8, 4:3, 161.28, 137.85
640x360, 8, 5:4, 159.58, 136.94
640x360, 8, 16:10, 163.06, 138.40
640x360, 8, 16:9, 165.10, 139.84
640x360, 8, 21:9, 152.59, 133.78
640x360, 8, 9:16, 149.85, 136.23
640x360, 9, 4:3, 161.19, 137.57
640x360, 9, 5:4, 159.45, 136.93
640x360, 9, 16:10, 163.34, 138.36
640x360, 9, 16:9, 165.56, 139.58
640x360, 9, 21:9, 152.69, 133.51
640x360, 9, 9:16, 150.39, 136.15
736x414, 1, 4:3, 161.18, 134.07
736x414, 1, 5:4, 159.62, 133.90
736x414, 1, 16:10, 163.21, 134.55
736x414, 1, 16:9, 164.89, 135.64
736x414, 1, 21:9, 152.49, 130.35
736x414, 1, 9:16, 149.86, 133.76
736x414, 10, 4:3, 160.87, 134.25
736x414, 10, 5:4, 158.77, 133.85
736x414, 10, 16:10, 162.66, 134.29
736x414, 10, 16:9, 164.27, 135.07
736x414, 10, 21:9, 151.95, 129.99
736x414, 10, 9:16, 149.87, 133.57
736x414, 11, 4:3, 161.11, 134.13
736x414, 11, 5:4, 159.69, 133.67
736x414, 11, 16:10, 163.15, 134.42
736x414, 11, 16:9, 164.56, 135.48
736x414, 11, 21:9, 152.42, 129.95
736x414, 11, 9:16, 149.74, 133.83
736x414, 12, 4:3, 160.92, 134.00
736x414, 12, 5:4, 159.28, 133.06
736x414, 12, 16:10, 163.52, 134.31
736x414, 12, 16:9, 164.32, 135.38
736x414, 12, 21:9, 152.26, 130.08
736x414, 12, 9:16, 149.85, 133.40
736x414, 13, 4:3, 161.01, 134.66
736x414, 13, 5:4, 159.54, 133.49
736x414, 13, 16:10, 163.45, 134.26
736x414, 13, 16:9, 164.57, 135.26
736x414, 13, 21:9, 152.66, 129.78
736x414, 13, 9:16, 150.00, 133.66
736x414, 14, 4:3, 160.71, 134.60
736x414, 14, 5:4, 159.51, 133.51
736x414, 14, 16:10, 163.14, 134.40
736x414, 14, 16:9, 164.51, 135.44
736x414, 14, 21:9, 152.91, 130.01
736x414, 14, 9:16, 149.86, 133.28
736x414, 15, 4:3, 161.41, 133.91
736x414, 15, 5:4, 159.46, 132.93
736x414, 15, 16:10, 163.04, 134.13
736x414, 15, 16:9, 164.62, 135.26
736x414, 15, 21:9, 152.63, 129.76
736x414, 15, 9:16, 150.69, 133.37
736x414, 2, 4:3, 160.58, 134.43
736x414, 2, 5:4, 159.78, 133.49
736x414, 2, 16:10, 163.32, 134.29
736x414, 2, 16:9, 164.54, 135.84
736x414, 2, 21:9, 152.06, 130.44
736x414, 2, 9:16, 150.03, 133.90
736x414, 3, 4:3, 160.80, 134.51
736x414, 3, 5:4, 159.79, 133.58
736x414, 3, 16:10, 163.21, 134.53
736x414, 3, 16:9, 164.85, 135.70
736x414, 3, 21:9, 152.03, 130.19
736x414, 3, 9:16, 150.25, 133.80
736x414, 4, 4:3, 160.31, 134.78
736x414, 4, 5:4, 159.32, 133.87
736x414, 4, 16:10, 163.11, 134.54
736x414, 4, 16:9, 164.26, 135.42
736x414, 4, 21:9, 152.09, 129.88
736x414, 4, 9:16, 149.68, 133.49
736x414, 5, 4:3, 161.23, 134.67
736x414, 5, 5:4, 159.31, 134.00
736x414, 5, 16:10, 162.54, 134.34
736x414, 5, 16:9, 164.48, 135.46
736x414, 5, 21:9, 152.41, 129.85
736x414, 5, 9:16, 150.32, 133.38
736x414, 6, 4:3, 160.54, 134.61
736x414, 6, 5:4, 159.19, 133.95
736x414, 6, 16:10, 162.91, 134.65
736x414, 6, 16:9, 164.44, 135.31
736x414, 6, 21:9, 152.58, 130.07
736x414, 6, 9:16, 150.22, 133.52
736x414, 7, 4:3, 160.59, 134.42
736x414, 7, 5:4, 158.66, 133.98
736x414, 7, 16:10, 163.06, 134.45
736x414, 7, 16:9, 164.23, 135.28
736x414, 7, 21:9, 151.95, 129.86
736x414, 7, 9:16, 149.87, 133.56
736x414, 8, 4:3, 160.69, 134.62
736x414, 8, 5:4, 158.81, 133.62
736x414, 8, 16:10, 163.25, 134.65
736x414, 8, 16:9, 164.06, 135.35
736x414, 8, 21:9, 152.48, 129.93
736x414, 8, 9:16, 149.75, 133.47
736x414, 9, 4:3, 161.01, 134.18
736x414, 9, 5:4, 158.78, 133.89
736x414, 9, 16:10, 162.96, 134.38
736x414, 9, 16:9, 164.17, 135.33
736x414, 9, 21:9, 152.85, 129.88
736x414, 9, 9:16, 150.14, 133.53
7680x4320, 1, 4:3, 1.41, 1.20
7680x4320, 1, 5:4, 1.41, 1.20
7680x4320, 1, 16:10, 1.39, 1.18
7680x4320, 1, 16:9, 1.40, 1.18
7680x4320, 1, 21:9, 1.97, 1.74
7680x4320, 1, 9:16, 1.46, 1.23
7680x4320, 10, 4:3, 1.41, 1.19
7680x4320, 10, 5:4, 1.39, 1.18
7680x4320, 10, 16:10, 1.38, 1.18
7680x4320, 10, 16:9, 1.40, 1.19
7680x4320, 10, 21:9, 1.97, 1.75
7680x4320, 10, 9:16, 1.45, 1.24
7680x4320, 11, 4:3, 1.41, 1.19
7680x4320, 11, 5:4, 1.39, 1.18
7680x4320, 11, 16:10, 1.38, 1.18
7680x4320, 11, 16:9, 1.39, 1.19
7680x4320, 11, 21:9, 1.97, 1.74
7680x4320, 11, 9:16, 1.46, 1.23
7680x4320, 12, 4:3, 1.41, 1.19
7680x4320, 12, 5:4, 1.39, 1.18
7680x4320, 12, 16:10, 1.38, 1.17
7680x4320, 12, 16:9, 1.39, 1.19
7680x4320, 12, 21:9, 1.98, 1.75
7680x4320, 12, 9:16, 1.46, 1.23
7680x4320, 13, 4:3, 1.40, 1.19
7680x4320, 13, 5:4, 1.38, 1.18
7680x4320, 13, 16:10, 1.37, 1.18
7680x4320, 13, 16:9, 1.39, 1.19
7680x4320, 13, 21:9, 1.97, 1.74
7680x4320, 13, 9:16, 1.46, 1.23
7680x4320, 14, 4:3, 1.41, 1.19
7680x4320, 14, 5:4, 1.39, 1.18
7680x4320, 14, 16:10, 1.38, 1.18
7680x4320, 14, 16:9, 1.40, 1.19
7680x4320, 14, 21:9, 1.97, 1.73
7680x4320, 14, 9:16, 1.46, 1.23
7680x4320, 15, 4:3, 1.40, 1.20
7680x4320, 15, 5:4, 1.39, 1.18
7680x4320, 15, 16:10, 1.38, 1.18
7680x4320, 15, 16:9, 1.40, 1.19
7680x4320, 15, 21:9, 1.98, 1.74
7680x4320, 15, 9:16, 1.46, 1.23
7680x4320, 2, 4:3, 1.39, 1.18
7680x4320, 2, 5:4, 1.39, 1.18
7680x4320, 2, 16:10, 1.38, 1.18
7680x4320, 2, 16:9, 1.38, 1.18
7680x4320, 2, 21:9, 1.96, 1.73
7680x4320, 2, 9:16, 1.44, 1.21
7680x4320, 3, 4:3, 1.39, 1.18
7680x4320, 3, 5:4, 1.39, 1.18
7680x4320, 3, 16:10, 1.38, 1.18
7680x4320, 3, 16:9, 1.38, 1.17
7680x4320, 3, 21:9, 1.95, 1.73
7680x4320, 3, 9:16, 1.44, 1.22
7680x4320, 4, 4:3, 1.39, 1.18
7680x4320, 4, 5:4, 1.39, 1.18
7680x4320, 4, 16:10, 1.37, 1.18
7680x4320, 4, 16:9, 1.37, 1.17
7680x4320, 4, 21:9, 1.96, 1.72
7680x4320, 4, 9:16, 1.44, 1.22
7680x4320, 5, 4:3, 1.39, 1.18
7680x4320, 5, 5:4, 1.38, 1.18
7680x4320, 5, 16:10, 1.37, 1.17
7680x4320, 5, 16:9, 1.38, 1.17
7680x4320, 5, 21:9, 1.96, 1.72
7680x4320, 5, 9:16, 1.44, 1.22
7680x4320, 6, 4:3, 1.39, 1.18
7680x4320, 6, 5:4, 1.39, 1.18
7680x4320, 6, 16:10, 1.38, 1.18
7680x4320, 6, 16:9, 1.38, 1.17
7680x4320, 6, 21:9, 1.95, 1.73
7680x4320, 6, 9:16, 1.44, 1.21
7680x4320, 7, 4:3, 1.39, 1.17
7680x4320, 7, 5:4, 1.39, 1.18
7680x4320, 7, 16:10, 1.38, 1.18
7680x4320, 7, 16:9, 1.38, 1.17
7680x4320, 7, 21:9, 1.96, 1.74
7680x4320, 7, 9:16, 1.44, 1.21
7680x4320, 8, 4:3, 1.40, 1.19
7680x4320, 8, 5:4, 1.39, 1.18
7680x4320, 8, 16:10, 1.37, 1.17
7680x4320, 8, 16:9, 1.39, 1.19
7680x4320, 8, 21:9, 1.97, 1.74
7680x4320, 8, 9:16, 1.45, 1.23
7680x4320, 9, 4:3, 1.40, 1.19
7680x4320, 9, 5:4, 1.39, 1.18
7680x4320, 9, 16:10, 1.38, 1.17
7680x4320, 9, 16:9, 1.39, 1.18
7680x4320, 9, 21:9, 1.97, 1.74
7680x4320, 9, 9:16, 1.46, 1.22
960x540, 1, 4:3, 153.04, 122.39
960x540, 1, 5:4, 150.78, 121.08
960x540, 1, 16:10, 153.00, 121.48
960x540, 1, 16:9, 153.46, 122.17
960x540, 1, 21:9, 144.96, 116.70
960x540, 1, 9:16, 143.49, 123.34
960x540, 10, 4:3, 152.15, 121.62
960x540, 10, 5:4, 150.44, 121.73
960x540, 10, 16:10, 153.00, 121.78
960x540, 10, 16:9, 152.98, 121.37
960x540, 10, 21:9, 143.92, 115.60
960x540, 10, 9:16, 142.36, 122.53
960x540, 11, 4:3, 152.14, 121.72
960x540, 11, 5:4, 150.92, 121.52
960x540, 11, 16:10, 153.24, 121.97
960x540, 11, 16:9, 153.75, 121.58
960x540, 11, 21:9, 144.63, 115.79
960x540, 11, 9:16, 142.87, 122.69
960x540, 12, 4:3, 151.45, 121.05
960x540, 12, 5:4, 150.90, 121.48
960x540, 12, 16:10, 153.30, 121.84
960x540, 12, 16:9, 154.06, 121.31
960x540, 12, 21:9, 144.22, 115.95
960x540, 12, 9:16, 142.66, 122.37
960x540, 13, 4:3, 151.79, 121.93
960x540, 13, 5:4, 150.75, 121.25
960x540, 13, 16:10, 153.14, 121.62
960x540, 13, 16:9, 153.55, 121.52
960x540, 13, 21:9, 144.41, 115.95
960x540, 13, 9:16, 142.86, 122.55
960x540, 14, 4:3, 151.68, 121.11
960x540, 14, 5:4, 150.79, 121.41
960x540, 14, 16:10, 152.30, 121.83
960x540, 14, 16:9, 154.03, 121.64
960x540, 14, 21:9, 144.08, 115.72
960x540, 14, 9:16, 142.31, 121.74
960x540, 15, 4:3, 151.64, 120.99
960x540, 15, 5:4, 150.54, 121.31
960x540, 15, 16:10, 152.76, 121.53
960x540, 15, 16:9, 153.54, 121.19
960x540, 15, 21:9, 143.88, 115.02
960x540, 15, 9:16, 141.97, 121.42
960x540, 2, 4:3, 152.66, 122.48
960x540, 2, 5:4, 150.40, 121.73
960x540, 2, 16:10, 152.85, 121.48
960x540, 2, 16:9, 154.41, 122.61
960x540, 2, 21:9, 145.38, 116.46
960x540, 2, 9:16, 143.80, 123.37
960x540, 3, 4:3, 153.20, 122.25
960x540, 3, 5:4, 150.59, 121.48
960x540, 3, 16:10, 153.13, 121.85
960x540, 3, 16:9, 154.46, 122.19
960x540, 3, 21:9, 145.40, 116.80
960x540, 3, 9:16, 144.11, 123.36
960x540, 4, 4:3, 152.88, 122.30
960x540, 4, 5:4, 150.91, 121.52
960x540, 4, 16:10, 153.21, 121.61
960x540, 4, 16:9, 154.22, 122.13
960x540, 4, 21:9, 145.19, 116.57
960x540, 4, 9:16, 143.72, 123.74
960x540, 5, 4:3, 151.89, 121.83
960x540, 5, 5:4, 150.91, 121.11
960x540, 5, 16:10, 153.03, 121.57
960x540, 5, 16:9, 154.72, 122.22
960x540, 5, 21:9, 144.50, 116.01
960x540, 5, 9:16, 143.18, 122.67
960x540, 6, 4:3, 152.61, 121.66
960x540, 6, 5:4, 150.60, 121.56
960x540, 6, 16:10, 153.68, 121.72
960x540, 6, 16:9, 153.50, 121.64
960x540, 6, 21:9, 145.13, 116.02
960x540, 6, 9:16, 143.38, 122.76
960x540, 7, 4:3, 151.98, 121.41
960x540, 7, 5:4, 150.55, 121.41
960x540, 7, 16:10, 153.06, 121.58
960x540, 7, 16:9, 154.01, 121.43
960x540, 7, 21:9, 144.51, 115.86
960x540, 7, 9:16, 142.64, 122.11
960x540, 8, 4:3, 152.24, 121.57
960x540, 8, 5:4, 150.79, 121.66
960x540, 8, 16:10, 153.34, 121.53
960x540, 8, 16:9, 153.03, 121.23
960x540, 8, 21:9, 144.48, 115.79
960x540, 8, 9:16, 141.47, 122.51
960x540, 9, 4:3, 152.56, 121.57
960x540, 9, 5:4, 150.72, 121.44
960x540, 9, 16:10, 153.26, 121.48
960x540, 9, 16:9, 153.80, 121.64
960x540, 9, 21:9, 144.38, 115.74
960x540, 9, 9:16, 142.69, 122.24
